Date,Open,High,Low,Close,Adj Close,Volume
2012-01-12,55.611111,56.644444,54.966667,55.588886,29.546377,5573560
2012-01-13,56.222221,57.200001,55.788887,56.444443,30.001118,2907171
2012-01-16,56.222221,56.777779,55.788887,56.299999,29.924343,1272087
2012-01-17,56.655556,58.222221,56.477776,57.888889,30.768864,2635600
2012-01-18,58.077778,59.611111,56.588886,57.322224,30.467670,3187147
2012-01-19,57.577778,58.844444,57.222221,58.400002,31.040527,1649133
2012-01-20,58.666664,59.900002,58.111111,59.655556,31.707870,2692768
2012-01-23,59.777779,61.388889,59.611111,60.066666,31.926378,2624341
2012-01-24,59.966667,61.222221,59.155556,60.644444,32.233486,1478448
2012-01-25,61.000000,64.222221,60.677776,63.633331,33.822124,5968030
2012-01-27,63.333332,64.566666,62.522221,64.300003,34.176472,3804835
2012-01-30,63.977776,64.422218,62.611111,63.099998,33.538647,3666253
2012-01-31,63.355556,66.344444,62.377777,65.588890,34.861534,3679159
2012-02-01,65.533333,65.688889,63.333332,64.011108,34.022915,1552239
2012-02-02,64.233330,64.855553,62.500000,63.099998,33.538647,3891586
2012-02-03,63.555553,64.777779,63.011112,63.655556,33.833939,3818641
2012-02-06,63.799999,65.222221,63.333332,63.577778,33.792595,3238128
2012-02-07,63.577778,65.688889,62.355556,62.755554,33.355576,3127279
2012-02-08,61.622223,63.855556,61.622223,63.622223,33.816223,2074671
2012-02-09,55.599998,73.288887,55.599998,63.911110,33.969772,3145275
2012-02-10,66.666664,68.833336,65.000000,65.333336,34.725704,15062202
2012-02-13,65.777779,66.000000,62.933334,63.200001,33.591808,3479197
2012-02-14,63.644444,64.344444,63.244446,63.500000,33.751259,2343460
2012-02-15,63.555553,65.222221,63.333332,64.433334,34.247345,4801356
2012-02-16,64.222221,65.088890,63.555553,64.866669,34.477665,2255679
2012-02-17,63.577778,65.844444,62.888889,64.455559,34.259151,3306015
2012-02-21,64.255554,64.644447,63.555553,63.811111,33.916615,2377386
2012-02-22,64.022224,67.611115,63.188889,63.955555,33.993389,9687046
2012-02-23,64.244446,68.077774,64.000000,66.144447,35.156826,9387342
2012-02-24,66.466667,67.555557,62.688889,63.933334,33.981579,5293318
2012-02-27,63.799999,66.566666,61.977776,66.155556,35.162724,11975040
2012-02-28,66.866669,67.222221,65.244446,66.666664,35.434391,3895654
2012-02-29,66.911110,70.000000,66.822220,69.688889,37.040745,8143150
2012-03-01,70.333336,70.333336,68.222221,69.088890,36.721836,2724471
2012-03-02,69.322220,69.711113,67.777779,68.533333,36.426548,3080803
2012-03-03,null,null,null,null,null,null
2012-03-05,70.244446,70.466667,67.666664,68.511108,36.414742,3692709
2012-03-06,68.888885,70.433334,68.455559,69.266663,36.816322,5849739
2012-03-07,69.311111,69.500000,65.588890,66.355553,35.269028,3646444
2012-03-09,66.477776,67.433334,65.611115,66.877777,35.546604,5177155
2012-03-12,67.555557,67.555557,66.044441,66.400002,35.292652,1622713
2012-03-13,66.466667,67.955559,66.433334,67.188889,35.711960,3607375
2012-03-14,67.355553,67.733330,66.355553,67.066666,35.646992,2724345
2012-03-15,66.466667,67.466667,65.000000,65.577774,34.855629,2499300
2012-03-16,65.733330,68.211113,63.888889,66.433334,35.310368,9540121
2012-03-19,63.822224,66.422218,63.666664,64.488892,34.276867,3300489
2012-03-20,64.466667,65.888885,64.288887,65.099998,34.601677,3699423
2012-03-21,64.855553,66.777779,64.666664,66.033333,35.097767,3875598
2012-03-22,66.022224,66.355553,64.011108,64.511108,34.288677,1392178
2012-03-23,64.666664,64.944443,63.066666,63.333332,33.662670,3752545
2012-03-26,63.544445,63.811111,62.911110,63.188889,33.585903,2163838
2012-03-27,63.444443,63.988888,62.666664,63.144444,33.562271,1875663
2012-03-28,63.322224,63.555553,62.111111,62.400002,33.166588,2226874
2012-03-29,62.111111,63.333332,61.877777,62.888889,33.426445,4055116
2012-03-30,63.455555,67.777779,63.455555,67.466667,35.859600,7938909
2012-04-02,66.466667,67.422218,65.255554,65.955559,35.056427,3747789
2012-04-03,66.233330,67.111115,65.444443,66.900002,35.558414,2517399
2012-04-04,66.688889,66.866669,65.822220,66.022224,35.091858,1306534
2012-04-09,65.533333,65.533333,63.333332,63.511112,33.757160,1588810
2012-04-10,63.566666,63.644444,62.088886,62.299999,33.113441,1531845
2012-04-11,62.299999,63.799999,61.777779,62.611111,33.278801,2116615
2012-04-12,63.111111,63.522221,62.622223,63.088886,33.532738,1547788
2012-04-13,62.688889,63.500000,61.844444,62.244446,33.083912,2404642
2012-04-16,62.255554,63.533333,61.911110,62.922222,33.444160,1699474
2012-04-17,63.155556,64.644447,62.733334,64.466667,34.265057,4239508
2012-04-18,64.911110,65.977776,64.555557,65.255554,34.684364,3549811
2012-04-19,65.133331,66.866669,64.911110,66.577774,35.387142,2691049
2012-04-20,66.477776,68.644447,65.722221,67.722221,35.995434,5931351
2012-04-23,67.800003,68.444443,65.144447,65.422218,34.772945,3922191
2012-04-24,65.555557,67.777779,64.911110,66.544441,35.369427,3770401
2012-04-25,66.699997,68.155556,66.666664,67.833336,36.054489,4308309
2012-04-26,68.244446,68.244446,64.711113,65.366669,34.743423,6548085
2012-04-27,65.555557,66.655556,65.022224,65.744446,34.944214,1544881
2012-04-30,65.555557,67.199997,65.522224,66.988892,35.605652,1142082
2012-05-02,67.188889,67.555557,65.977776,66.244446,35.209976,1525315
2012-05-03,68.000000,68.000000,65.466667,65.800003,34.973743,3628341
2012-05-04,57.833332,67.255554,57.833332,66.588890,35.393055,4928535
2012-05-07,66.666664,69.333336,66.666664,68.233330,36.267101,7376305
2012-05-08,68.455559,69.099998,66.411110,67.144447,35.688339,5022018
2012-05-09,66.911110,68.422218,66.000000,66.844444,35.528885,2312217
2012-05-10,66.888885,68.488892,66.355553,67.044441,35.635178,2831409
2012-05-11,67.344444,67.966667,66.011108,66.533333,35.363522,1851453
2012-05-14,67.111115,68.000000,66.355553,67.699997,35.983620,3020202
2012-05-15,67.766663,68.199997,66.766663,67.255554,35.747398,6016261
2012-05-16,67.477776,70.155556,67.000000,67.766663,36.019054,8783950
2012-05-17,68.244446,69.822220,67.555557,67.844444,36.060402,5359261
2012-05-18,68.000000,68.599998,67.288887,68.155556,36.225761,2285185
